miRNA_locus_ID	miRNA_locus_accession	miRNA_family	Organism	Chromosome	Start	End	Strand
Gma-MIRN1260g	PmiREN007758	MIRN1260	Glycine max	Gma-Gm18	26432052	26432162	+
Gma-MIRN1261	PmiREN007216	MIRN1261	Glycine max	Gma-Gm08	13130600	13130692	+
Gma-MIRN1262	PmiREN007223	MIRN1262	Glycine max	Gma-Gm06	3636076	3636189	+
Gma-MIRN1263	PmiREN007225	MIRN1263	Glycine max	Gma-Gm07	38639171	38639419	+
Gma-MIRN1264	PmiREN007226	MIRN1264	Glycine max	Gma-Gm17	35846121	35846259	-
Gma-MIRN1265	PmiREN007233	MIRN1265	Glycine max	Gma-Gm18	22512734	22512879	-
Gma-MIRN1266	PmiREN007235	MIRN1266	Glycine max	Gma-Gm18	43434039	43434304	-
Gma-MIRN1267a	PmiREN007236	MIRN1267	Glycine max	Gma-Gm09	18469621	18469791	-
Gma-MIRN1267b	PmiREN007237	MIRN1267	Glycine max	Gma-Gm15	46022687	46022857	-
Gma-MIRN1268	PmiREN007238	MIRN1268	Glycine max	Gma-Gm18	60819553	60819674	+
Gma-MIRN1269a	PmiREN007239	MIRN1269	Glycine max	Gma-Gm01	2207614	2207700	-
Gma-MIRN1269b	PmiREN007250	MIRN1269	Glycine max	Gma-Gm19	41529211	41529297	+
Gma-MIRN1270	PmiREN007242	MIRN1270	Glycine max	Gma-Gm11	16857381	16857599	-
Gma-MIRN1271	PmiREN007244	MIRN1271	Glycine max	Gma-Gm14	31243546	31243694	+
Gma-MIRN1272	PmiREN007248	MIRN1272	Glycine max	Gma-Gm19	15166984	15167075	+
Gma-MIRN1273a	PmiREN007262	MIRN1273	Glycine max	Gma-Gm08	46959928	46960158	-
Gma-MIRN1273b	PmiREN007264	MIRN1273	Glycine max	Gma-Gm10	8591	8822	-
Gma-MIRN1273c	PmiREN007267	MIRN1273	Glycine max	Gma-Gm13	20596428	20596658	-
Gma-MIRN1273d	PmiREN007268	MIRN1273	Glycine max	Gma-Gm15	50906246	50906477	-
Gma-MIRN1274	PmiREN007278	MIRN1274	Glycine max	Gma-Gm14	4331489	4331711	+
Gma-MIRN1275a	PmiREN007281	MIRN1275	Glycine max	Gma-Gm04	33606535	33606722	-
Gma-MIRN1275b	PmiREN007283	MIRN1275	Glycine max	Gma-Gm07	17229395	17229582	-
Gma-MIRN1276	PmiREN007282	MIRN1276	Glycine max	Gma-Gm09	14717317	14717494	+
Gma-MIRN1277a	PmiREN007286	MIRN1277	Glycine max	Gma-Gm18	50150645	50150876	+
Gma-MIRN1277b	PmiREN007298	MIRN1277	Glycine max	Gma-Gm01	44016006	44016237	-
Gma-MIRN1277c	PmiREN007299	MIRN1277	Glycine max	Gma-Gm01	41080651	41080882	-
Gma-MIRN1277d	PmiREN007300	MIRN1277	Glycine max	Gma-Gm04	22608768	22608999	-
Gma-MIRN1277e	PmiREN007301	MIRN1277	Glycine max	Gma-Gm05	4222749	4222980	+
Gma-MIRN1278a	PmiREN007289	MIRN1278	Glycine max	Gma-Gm08	30267914	30268055	-
Gma-MIRN1278b	PmiREN007291	MIRN1278	Glycine max	Gma-Gm17	14285381	14285510	+
Gma-MIRN1279	PmiREN007292	MIRN1279	Glycine max	Gma-Gm19	15083874	15084107	+
Gma-MIRN1280	PmiREN007295	MIRN1280	Glycine max	Gma-Gm20	41116608	41116838	+
Gma-MIRN1281	PmiREN007297	MIRN1281	Glycine max	Gma-Gm19	46088101	46088188	-
Gma-MIRN1282	PmiREN007307	MIRN1282	Glycine max	Gma-Gm10	37197851	37198076	-
Gma-MIRN1283	PmiREN007308	MIRN1283	Glycine max	Gma-Gm15	27696200	27696287	+
Gma-MIRN1284	PmiREN007310	MIRN1284	Glycine max	Gma-Gm05	5685026	5685108	-
Gma-MIRN1285	PmiREN007314	MIRN1285	Glycine max	Gma-Gm14	26764244	26764330	+
Gma-MIRN1286	PmiREN007315	MIRN1286	Glycine max	Gma-Gm03	3040558	3040723	-
Gma-MIRN1287	PmiREN007319	MIRN1287	Glycine max	Gma-Gm16	21272835	21272990	+
Gma-MIRN1288	PmiREN007322	MIRN1288	Glycine max	Gma-Gm05	15006147	15006388	+
Gma-MIRN1289a	PmiREN007323	MIRN1289	Glycine max	Gma-Gm04	26289412	26289508	+
Gma-MIRN1289b	PmiREN007325	MIRN1289	Glycine max	Gma-Gm08	19573904	19574000	-
Gma-MIRN1290a	PmiREN007343	MIRN1290	Glycine max	Gma-Gm03	47035738	47035880	+
Gma-MIRN1290b	PmiREN007347	MIRN1290	Glycine max	Gma-Gm19	32816929	32817071	+
Gma-MIRN1291	PmiREN007344	MIRN1291	Glycine max	Gma-Gm12	17994321	17994408	-
Gma-MIRN1292	PmiREN007345	MIRN1292	Glycine max	Gma-Gm12	25097536	25097628	+
Gma-MIRN1293	PmiREN007348	MIRN1293	Glycine max	Gma-Gm12	11720615	11720759	+
Gma-MIRN1294a	PmiREN007350	MIRN1294	Glycine max	Gma-Gm04	34955289	34955400	-
Gma-MIRN1294b	PmiREN007351	MIRN1294	Glycine max	Gma-Gm06	35895735	35895846	-
Gma-MIRN1294c	PmiREN007353	MIRN1294	Glycine max	Gma-Gm09	34677785	34677896	+
Gma-MIRN1294d	PmiREN007354	MIRN1294	Glycine max	Gma-Gm09	34681904	34682015	-
Gma-MIRN1294e	PmiREN007733	MIRN1294	Glycine max	Gma-Gm09	26530457	26530564	+
Gma-MIRN1295	PmiREN007356	MIRN1295	Glycine max	Gma-Gm15	29901780	29901989	-
Gma-MIRN1296a	PmiREN007369	MIRN1296	Glycine max	Gma-Gm11	31653157	31653409	-
Gma-MIRN1296b	PmiREN007370	MIRN1296	Glycine max	Gma-Gm15	22876549	22876801	-
Gma-MIRN1297	PmiREN007375	MIRN1297	Glycine max	Gma-Gm18	11431511	11431775	-
Gma-MIRN1298a	PmiREN007379	MIRN1298	Glycine max	Gma-Gm06	44018817	44019065	+
Gma-MIRN1298b	PmiREN007501	MIRN1298	Glycine max	Gma-Gm06	19198154	19198400	+
Gma-MIRN1299a	PmiREN007388	MIRN1299	Glycine max	Gma-Gm01	48798986	48799130	+
Gma-MIRN1299b	PmiREN007389	MIRN1299	Glycine max	Gma-Gm07	18838693	18838789	-
Gma-MIRN1300	PmiREN007395	MIRN1300	Glycine max	Gma-Gm14	12517040	12517286	-
Gma-MIRN1301	PmiREN007396	MIRN1301	Glycine max	Gma-Gm11	3586658	3586833	+
Gma-MIRN1302	PmiREN007399	MIRN1302	Glycine max	Gma-Gm16	29157252	29157360	+
Gma-MIRN1303	PmiREN007417	MIRN1303	Glycine max	Gma-Gm03	1536199	1536324	+
Gma-MIRN1304	PmiREN007422	MIRN1304	Glycine max	Gma-Gm07	15689507	15689633	+
Gma-MIRN1305a	PmiREN007427	MIRN1305	Glycine max	Gma-Gm07	10001904	10002009	+
Gma-MIRN1305b	PmiREN007438	MIRN1305	Glycine max	Gma-Gm14	13818996	13819101	+
Gma-MIRN1306	PmiREN007428	MIRN1306	Glycine max	Gma-Gm08	16264276	16264357	+
Gma-MIRN1307	PmiREN007429	MIRN1307	Glycine max	Gma-Gm17	38850188	38850380	+
Gma-MIRN1308	PmiREN007442	MIRN1308	Glycine max	Gma-Gm03	35050699	35050785	-
Gma-MIRN1309	PmiREN007444	MIRN1309	Glycine max	Gma-Gm05	13227140	13227296	-
Gma-MIRN1310	PmiREN007457	MIRN1310	Glycine max	Gma-Gm04	2076253	2076493	-
Gma-MIRN1311	PmiREN007463	MIRN1311	Glycine max	Gma-Gm18	34991664	34991835	-
Gma-MIRN1312	PmiREN007471	MIRN1312	Glycine max	Gma-Gm14	49072345	49072586	+
Gma-MIRN1313	PmiREN007472	MIRN1313	Glycine max	Gma-Gm10	48139713	48139935	-
Gma-MIRN1314	PmiREN007478	MIRN1314	Glycine max	Gma-Gm20	29993495	29993658	+
Gma-MIRN1315	PmiREN007504	MIRN1315	Glycine max	Gma-Gm11	4579496	4579723	+
Gma-MIRN1316	PmiREN007507	MIRN1316	Glycine max	Gma-Gm14	43404860	43404958	-
Gma-MIRN1317a	PmiREN007511	MIRN1317	Glycine max	Gma-Gm06	21879053	21879236	-
Gma-MIRN1317b	PmiREN007518	MIRN1317	Glycine max	Gma-Gm09	35392041	35392224	-
Gma-MIRN1318	PmiREN007520	MIRN1318	Glycine max	Gma-Gm09	6484946	6485185	-
Gma-MIRN1319	PmiREN007521	MIRN1319	Glycine max	Gma-Gm09	32736938	32737175	+
Gma-MIRN1320	PmiREN007522	MIRN1320	Glycine max	Gma-Gm14	3289650	3289743	+
Gma-MIRN1321	PmiREN007523	MIRN1321	Glycine max	Gma-Gm20	14939761	14939943	+
Gma-MIRN1322	PmiREN007524	MIRN1322	Glycine max	Gma-Gm02	1730672	1730799	+
Gma-MIRN1323	PmiREN007528	MIRN1323	Glycine max	Gma-Gm07	12102794	12102927	+
Gma-MIRN1324	PmiREN007536	MIRN1324	Glycine max	Gma-Gm06	28292056	28292141	+
Gma-MIRN1325a	PmiREN007537	MIRN1325	Glycine max	Gma-Gm11	14277295	14277544	+
Gma-MIRN1325b	PmiREN007552	MIRN1325	Glycine max	Gma-Gm16	24028334	24028585	+
Gma-MIRN1326	PmiREN007548	MIRN1326	Glycine max	Gma-Gm10	17716233	17716357	-
Gma-MIRN1327	PmiREN007549	MIRN1327	Glycine max	Gma-Gm07	12232904	12232990	+
Gma-MIRN1328a	PmiREN007553	MIRN1328	Glycine max	Gma-Gm03	29046006	29046099	-
Gma-MIRN1328b	PmiREN007563	MIRN1328	Glycine max	Gma-Gm19	36322316	36322453	+
Gma-MIRN1329	PmiREN007557	MIRN1329	Glycine max	Gma-Gm07	21078660	21078887	+
Gma-MIRN1330	PmiREN007568	MIRN1330	Glycine max	Gma-Gm01	25683213	25683329	-
Gma-MIRN1331	PmiREN007569	MIRN1331	Glycine max	Gma-Gm01	12554980	12555237	-
Gma-MIRN1332	PmiREN007570	MIRN1332	Glycine max	Gma-Gm02	41889689	41889953	+
Gma-MIRN1333	PmiREN007572	MIRN1333	Glycine max	Gma-Gm02	47700607	47700822	-
Gma-MIRN1334	PmiREN007580	MIRN1334	Glycine max	Gma-Gm05	33490376	33490460	+
Gma-MIRN1335	PmiREN007583	MIRN1335	Glycine max	Gma-Gm06	46035198	46035325	-
Gma-MIRN1336	PmiREN007584	MIRN1336	Glycine max	Gma-Gm07	1923085	1923330	-
Gma-MIRN1337a	PmiREN007586	MIRN1337	Glycine max	Gma-Gm09	19613213	19613452	+
Gma-MIRN1337b	PmiREN007590	MIRN1337	Glycine max	Gma-Gm09	19554291	19554529	-
Gma-MIRN1338	PmiREN007591	MIRN1338	Glycine max	Gma-Gm10	1411022	1411267	-
Gma-MIRN1339	PmiREN007601	MIRN1339	Glycine max	Gma-Gm15	37294478	37294654	-
Gma-MIRN1340	PmiREN007603	MIRN1340	Glycine max	Gma-Gm16	27873589	27873797	+
Gma-MIRN1341a	PmiREN007616	MIRN1341	Glycine max	Gma-Gm03	9541639	9541742	+
Gma-MIRN1341b	PmiREN007619	MIRN1341	Glycine max	Gma-Gm14	19969689	19969792	-
Gma-MIRN1342	PmiREN007620	MIRN1342	Glycine max	Gma-Gm14	6756792	6756975	+
Gma-MIRN1343a	PmiREN007625	MIRN1343	Glycine max	Gma-Gm04	38280502	38280755	+
Gma-MIRN1343b	PmiREN007631	MIRN1343	Glycine max	Gma-Gm17	1401430	1401528	+
Gma-MIRN1344	PmiREN007626	MIRN1344	Glycine max	Gma-Gm05	30526782	30527015	-
Gma-MIRN1345	PmiREN007632	MIRN1345	Glycine max	Gma-Gm18	61631510	61631630	+
Gma-MIRN1346	PmiREN007640	MIRN1346	Glycine max	Gma-Gm10	1740685	1740842	+
Gma-MIRN1347	PmiREN007665	MIRN1347	Glycine max	Gma-Gm20	1381625	1381760	+
Gma-MIRN1348	PmiREN007667	MIRN1348	Glycine max	Gma-Gm02	28985614	28985733	+
Gma-MIRN1349	PmiREN007675	MIRN1349	Glycine max	Gma-Gm10	23835316	23835432	-
Gma-MIRN1350a	PmiREN007676	MIRN1350	Glycine max	Gma-Gm10	14880358	14880478	-
Gma-MIRN1350b	PmiREN007683	MIRN1350	Glycine max	Gma-Gm15	46227790	46227911	-
Gma-MIRN1351	PmiREN007677	MIRN1351	Glycine max	Gma-Gm11	15108340	15108442	-
Gma-MIRN1352	PmiREN007695	MIRN1352	Glycine max	Gma-Gm17	36660093	36660282	-
Gma-MIRN1353a	PmiREN007704	MIRN1353	Glycine max	Gma-Gm17	35719510	35719648	+
Gma-MIRN1353b	PmiREN007715	MIRN1353	Glycine max	Gma-Gm17	35775512	35775650	+
Gma-MIRN1353c	PmiREN007726	MIRN1353	Glycine max	Gma-Gm17	35863114	35863252	+
Gma-MIRN1353d	PmiREN007738	MIRN1353	Glycine max	Gma-Gm17	35938195	35938333	+
Gma-MIRN1354a	PmiREN007710	MIRN1354	Glycine max	Gma-Gm16	36659935	36660022	+
Gma-MIRN1354b	PmiREN007711	MIRN1354	Glycine max	Gma-Gm16	36673390	36673477	+
Gma-MIRN1354c	PmiREN007751	MIRN1354	Glycine max	Gma-Gm16	36753043	36753130	+
Gma-MIRN1355	PmiREN007717	MIRN1355	Glycine max	Gma-Gm01	11611247	11611487	-
Gma-MIRN1356	PmiREN007718	MIRN1356	Glycine max	Gma-Gm01	34793528	34793674	+
Gma-MIRN1357a	PmiREN007728	MIRN1357	Glycine max	Gma-Gm06	38462155	38462256	-
Gma-MIRN1357b	PmiREN007742	MIRN1357	Glycine max	Gma-Gm13	29356752	29356853	-
Gma-MIRN1357c	PmiREN007764	MIRN1357	Glycine max	Gma-Gm20	22134146	22134247	-
Gma-MIRN1358	PmiREN007730	MIRN1358	Glycine max	Gma-Gm07	5631096	5631358	-
Gma-MIRN1359a	PmiREN007731	MIRN1359	Glycine max	Gma-Gm09	34682418	34682528	+
Gma-MIRN1359b	PmiREN007732	MIRN1359	Glycine max	Gma-Gm09	34677272	34677382	-
Gma-MIRN1360	PmiREN007746	MIRN1360	Glycine max	Gma-Gm15	45418517	45418714	+
Gma-MIRN1361a	PmiREN007760	MIRN1361	Glycine max	Gma-Gm19	12056934	12057034	+
Gma-MIRN1361b	PmiREN007769	MIRN1361	Glycine max	Gma-Gm19	11400404	11400646	+
Gma-MIRN1361c	PmiREN007770	MIRN1361	Glycine max	Gma-scaffold_382	3916	4005	+
Gma-MIRN1362	PmiREN007766	MIRN1362	Glycine max	Gma-Gm06	45403266	45403363	+
Gma-MIRN1363	PmiREN007767	MIRN1363	Glycine max	Gma-Gm09	29816508	29816666	+
Gma-MIRN1364	PmiREN007772	MIRN1364	Glycine max	Gma-Gm11	29823232	29823325	-
Gma-MIRN1365	PmiREN007778	MIRN1365	Glycine max	Gma-Gm18	13206065	13206146	-
Gma-MIRN1366	PmiREN007779	MIRN1366	Glycine max	Gma-Gm06	18988688	18988907	-
Gma-MIRN1367	PmiREN007783	MIRN1367	Glycine max	Gma-Gm02	38369538	38369650	-
Gma-MIRN1368	PmiREN007785	MIRN1368	Glycine max	Gma-Gm04	2067699	2067853	+
Gma-MIRN1369	PmiREN007787	MIRN1369	Glycine max	Gma-Gm14	6674962	6675125	+
Gma-MIRN1370	PmiREN007794	MIRN1370	Glycine max	Gma-Gm01	7613012	7613249	-
Gma-MIRN1371a	PmiREN007795	MIRN1371	Glycine max	Gma-Gm02	25993873	25994006	+
Gma-MIRN1371b	PmiREN007805	MIRN1371	Glycine max	Gma-Gm09	17928716	17928849	+
Gma-MIRN1372	PmiREN007804	MIRN1372	Glycine max	Gma-Gm09	8771053	8771239	-
Gma-MIRN4426	PmiREN006721	MIRN4426	Glycine max	Gma-Gm07	5376548	5376663	+
Gma-MIRN4427	PmiREN006738	MIRN4427	Glycine max	Gma-Gm07	5393965	5394167	-
